choice,leftcolor,rightcolor,leftwait,rightwait,leftbuffer,rightbuffer,iti,waitrange,buffrange,reactiontime
1,2,5,0.182325938335772,0.898684020106999,4.29814849062737,0,1,6,6,0.785181018989533
2,4,6,0.383456747691825,0.757558456509168,2.24461025290406,0,1,6,6,0.373911637812853
1,6,2,0.449532787059216,0.297552104246594,0,0.911884096875733,1,6,6,0.35963753098622
2,5,6,0.304065368279845,0.424067594774099,0.720013358965522,0,1,6,6,0.586574992164969
2,4,5,0.372768261177823,0.590014444473206,1.3034770997723,0,1,6,6,0.386694918386638
1,2,4,0.249652403523052,0.907946011939992,3.94976165050164,0,1,6,6,0.547183477319777
2,6,5,0.670892087589433,0.181630921169012,0,2.93556699852253,1,6,6,0.400665224995464
1,6,3,0.898193342563786,0.880162919815706,0,0.108182536488484,1,6,6,0.359941069968045
1,3,6,0.108849667994701,0.43636998694221,1.96512191368505,0,1,6,6,0.373057416174561
1,2,4,0.0560835693292709,0.622720062091351,3.39981895657248,0,1,6,6,0.346228550653905
2,3,6,0.268089965576348,0.472616653178174,1.22716012561096,0,1,6,6,0.38689054409042
2,4,5,0.724090749269394,0.793222970698598,0.414793328575228,0,1,6,6,0.373051390051842
1,3,6,0.0318066319598847,0.574063349782519,3.2535403069358,0,1,6,6,0.373182175215334
2,2,4,0.328940802406958,0.909819059963254,3.48526954533778,0,1,6,6,24.3379369718023
2,4,3,0.388564229658136,0.112476263713313,0,1.65652779566894,1,6,6,1.22652161214501
1,6,3,0.808613465078461,0.681252371837037,0,0.764166559448543,1,6,6,3.18461860204116
1,4,5,0.422206655341297,0.970870601931061,3.29198367953858,0,1,6,6,1.99903913587332
2,2,3,0.44958569363206,0.454896744552486,0.0318663055225583,0,1,6,6,6.05042797187343
1,2,4,0.445183419829786,0.875733038818339,2.58329771393132,0,1,6,6,0.879302549175918
1,5,6,0.111473488673323,0.53492413253287,2.54070386315729,0,1,6,6,0.426499182824045
