choice,leftcolor,rightcolor,leftwait,rightwait,leftbuffer,rightbuffer,iti,waitrange,buffrange,reactiontime
2,6,4,0.794967927408855,0.151115307189112,0,3.86311572131846,1,6,6,0.786220066249371
2,2,3,0.264886942349787,0.346121549767499,0.487407644506268,0,1,6,6,0.373170813079923
1,6,4,0.223268600750374,0.098484159493113,0,0.748706647543566,1,6,6,0.466545061208308
2,4,5,0.386126837872959,0.756493492404229,2.22219992718762,0,1,6,6,0.839258082676679
2,5,6,0.102791245143298,0.589581887977934,2.92074385700782,0,1,6,6,0.626397892832756
1,5,4,0.129293837644762,0.0415292955197065,0,0.526587252750335,1,6,6,0.599511745385826
2,3,5,0.730406147767979,0.871585078012005,0.847073581464158,0,1,6,6,0.546541386283934
1,5,6,0.231499978914624,0.818601267327835,3.52260773047926,0,1,6,6,0.466355681885034
2,5,6,0.305796255499961,0.553418563470905,1.48573384782566,0,1,6,6,0.45342901116237
2,4,3,0.657557549261282,0.271473645359033,0,2.3165034234135,1,6,6,0.359897864982486
1,6,4,0.65135006404079,0.240526333563275,0,2.46494238286509,1,6,6,0.453308133874089
1,6,2,0.74722242762671,0.254283764052337,0,2.95763198144624,1,6,6,0.493343444075435
2,6,5,0.684844225032648,0.161283087060453,0,3.14136682783317,1,6,6,0.35998569522053
1,5,2,0.174455740570303,0.0776317650813757,0,0.580943852933563,1,6,6,0.599656641017646
1,3,4,0.00651886454155616,0.562556349934338,3.33622491235669,0,1,6,6,0.359622020274401
2,3,5,0.39547071158675,0.874302104522615,2.87298835761519,0,1,6,6,0.41344023309648
2,4,5,0.333951064540982,0.715541740281294,2.28954405444187,0,1,6,6,0.452726786956191
2,4,2,0.866760879692976,0.650104999844965,0,1.29993527908806,1,6,6,0.399899769108742
2,2,4,0.47645720070063,0.910660823299857,2.60522173559536,0,1,6,6,0.599899555090815
2,6,5,0.80789973438154,0.39500255249208,0,2.47738309133676,1,6,6,0.439949316903949
2,2,3,0.752005879651758,0.96281930709389,1.26488056465279,0,1,6,6,0.413031146861613
2,2,6,0.094776669095632,0.911477490287031,4.90020492714839,0,1,6,6,0.626605281140655
2,3,6,0.107232402128741,0.254982577755573,0.886501053760993,0,1,6,6,0.399333822075278
2,3,6,0.224287108622625,0.593434620459301,2.21488507102005,0,1,6,6,0.453264969866723
1,3,4,0.229575307215366,0.735005032147749,3.0325783495943,0,1,6,6,0.426288813818246
1,4,3,0.451013925229671,0.225528114114668,0,1.35291486669002,1,6,6,0.573018412105739
2,2,5,0.175753335084651,0.471956670038382,1.77722000972238,0,1,6,6,0.452794364187866
2,4,3,0.79341135164416,0.248396109439617,0,3.27009145322726,1,6,6,0.386400843039155
2,3,6,0.238329839072344,0.875839729269892,3.82505934118529,0,1,6,6,0.613181148190051
2,6,5,0.785762086876557,0.303394134297685,0,2.89420771547323,1,6,6,0.413623289205134
2,2,4,0.252101263148757,0.805453210047192,3.32011168139061,0,1,6,6,0.506463482044637
1,4,2,0.617983888656825,0.455216655253999,0,0.976603400416953,1,6,6,0.586104014888406
2,3,6,0.502568465891559,0.66820623943033,0.993826641232626,0,1,6,6,0.452766367699951
1,4,2,0.800871965382654,0.255122186269202,0,3.27449867468071,1,6,6,0.586352733895183
2,3,4,0.721062574405718,0.898688036901265,1.06575277497328,0,1,6,6,0.639472699724138
2,2,6,0.190316213849148,0.962526942120179,4.63326436962619,0,1,6,6,0.466581257991493
1,4,2,0.996231841387335,0.668558196941651,0,1.96604186667411,1,6,6,0.586352910846472
1,4,5,0.189960021614078,0.658083267816381,2.80873947721382,0,1,6,6,0.426417484879494
2,5,6,0.294983234393868,0.441857260857642,0.881244158782644,0,1,6,6,0.506637470331043
2,3,6,0.691988836830477,0.863014933589387,1.02615658055346,0,1,6,6,0.4128896901384
1,5,2,0.660399804199301,0.17585889211663,0,2.90724547249602,1,6,6,0.519753552041948
2,3,2,0.961104083788164,0.276336227672331,0,4.108607136695,1,6,6,0.612787079066038
1,4,2,0.399960451945644,0.113488425087877,0,1.7188321611466,1,6,6,0.573085156269372
2,2,3,0.157198443150706,0.859056178880416,4.21114641437826,0,1,6,6,0.732584808953106
2,2,4,0.632139435332333,0.910313092130382,1.66904194078829,0,1,6,6,0.546359537169337
2,2,3,0.617172467809716,0.96897823362098,2.11083459486758,0,1,6,6,0.360108485911041
2,5,3,0.64723471302876,0.13218582939924,0,3.09029330177712,1,6,6,0.399797898251563
2,2,4,0.448840426955763,0.695808225169689,1.48180678928355,0,1,6,6,0.533097825944424
1,3,4,0.0838926192763693,0.983252177938471,5.39615735197261,0,1,6,6,0.412848933134228
1,6,4,0.669774677916325,0.285218645485685,0,2.30733619458384,1,6,6,0.586495498195291
2,4,6,0.256425493981887,0.743277353580705,2.9211111575929,0,1,6,6,0.546510363928974
2,4,2,0.875976859534148,0.543078190434295,0,1.99739201459912,1,6,6,0.38634616183117
2,3,4,0.71956800982336,0.779541101204018,0.359838548283949,0,1,6,6,0.639309022109956
1,6,3,0.90169735015449,0.773421889531157,0,0.769652763739998,1,6,6,0.51971535012126
2,4,6,0.717416135928322,0.975172095920505,1.5465357599531,0,1,6,6,0.439826489891857
2,5,4,0.828181044118563,0.238808500691694,0,3.53623526056122,1,6,6,0.372875638306141
2,4,6,0.311204096447306,0.874654084851339,3.3806999304242,0,1,6,6,0.559817837085575
1,5,2,0.546810430263546,0.0420983405979808,0,3.02827253799339,1,6,6,0.626102124340832
2,2,6,0.803109375202614,0.95708949303119,0.923880706971455,0,1,6,6,0.386118422728032
2,4,3,0.869146194713724,0.7400945535582,0,0.774309846933144,1,6,6,0.386172845959663
1,3,4,0.0737613994040347,0.42887331239361,2.13067147793745,0,1,6,6,0.373288955073804
1,4,5,0.0237926864176023,0.438271184190303,2.4868709866362,0,1,6,6,0.386438015848398
1,3,4,0.344717911139465,0.673932520986503,1.97528765908223,0,1,6,6,0.506624564994127
1,4,5,0.416994878750758,0.935230379894017,3.10941300685956,0,1,6,6,0.466225218959153
2,3,5,0.354879560114294,0.460766840940698,0.635323684958426,0,1,6,6,0.453546918928623
1,4,2,0.374147490772487,0.296877413195035,0,0.463620465464713,1,6,6,0.519563641399145
2,4,3,0.92416759390578,0.0865070606053374,0,5.02596319980266,1,6,6,0.373306886758655
